source	chapter	title	output_start_page	output_end_page	source_citation
Miller 10e	61	Geriatric Anesthesia	87	87	Source: Miller 10e, Chapter 61, Key Points, PDF p. 2368.
Miller 10e	62	Anesthesia for Trauma	88	88	Source: Miller 10e, Chapter 62, Key Points, PDF p. 2389.
Miller 10e	63	Prehospital Care for Medical Emergencies and Trauma	89	89	Source: Miller 10e, Chapter 63, Key Points, PDF p. 2442.
Miller 10e	64	Biologic, Natural, and Human-Induced Disasters: The Role of the Anesthesiologist	90	91	Source: Miller 10e, Chapter 64, Key Points, PDF pp. 2456–2457.
Miller 10e	65	Anesthesia for Ophthalmic Surgery	92	92	Source: Miller 10e, Chapter 65, Key Points, PDF p. 2486.
Miller 10e	66	Anesthesia for Otolaryngologic and Head–Neck Surgery	93	94	Source: Miller 10e, Chapter 66, Key Points, PDF pp. 2508–2509.
Miller 10e	67	Anesthesia for Robotic Surgery	95	95	Source: Miller 10e, Chapter 67, Key Points, PDF p. 2539.
Miller 10e	68	Ambulatory (Outpatient) Anesthesia	96	96	Source: Miller 10e, Chapter 68, Key Points, PDF p. 2564.
Miller 10e	69	Non–Operating Room Anesthesia	97	97	Source: Miller 10e, Chapter 69, Key Points, PDF p. 2612.
Miller 10e	70	Clinical Care in Extreme Environments: Physiology at High Altitude and in Space	98	98	Source: Miller 10e, Chapter 70, Key Points, PDF p. 2641.
Miller 10e	71	Clinical Care in Extreme Environments: High Pressure, Immersion, Drowning, Hypo-, and Hyperthermia	99	100	Source: Miller 10e, Chapter 71, Key Points, PDF p. 2671.
Miller 10e	72	Pediatric Anesthesia	101	101	Source: Miller 10e, Chapter 72, Key Points, PDF p. 2709.
Miller 10e	73	Anesthesia for Pediatric Cardiac Surgery	102	103	Source: Miller 10e, Chapter 73, Key Points, PDF p. 2750.
Miller 10e	74	Regional Anesthesia in Children	104	104	Source: Miller 10e, Chapter 74, Key Points, PDF p. 2813.
Miller 10e	75	Pediatric and Neonatal Critical Care	105	105	Source: Miller 10e, Chapter 75, Key Points, PDF p. 2878.
Miller 10e	76	The Postanesthesia Care Unit	106	106	Source: Miller 10e, Chapter 76, Key Points, PDF p. 2963.
Miller 10e	77	Acute Postoperative Pain	107	107	Source: Miller 10e, Chapter 77, Key Points, PDF p. 2996.
Miller 10e	78	Perioperative Neurocognitive Disorders	108	108	Source: Miller 10e, Chapter 78, Key Points, PDF p. 3028.
Miller 10e	79	Critical Care Anesthesiology	109	109	Source: Miller 10e, Chapter 79, Key Points, PDF p. 3045.
Miller 10e	80	Neurocritical Care	110	110	Source: Miller 10e, Chapter 80, Key Points, PDF p. 3069.
Miller 10e	81	Extracorporeal Membrane Oxygenation and Cardiac Devices	111	111	Source: Miller 10e, Chapter 81, Key Points, PDF p. 3103.
Miller 10e	82	Cardiopulmonary Resuscitation and Advanced Cardiac Life Support	112	113	Source: Miller 10e, Chapter 82, Key Points, PDF pp. 3125–3126.
Miller 10e	83	Burn Management	114	115	Source: Miller 10e, Chapter 83, Key Points, PDF pp. 3164–3165.
Miller 10e	84	Occupational Safety, Infection Control, and Substance Use Disorders	116	117	Source: Miller 10e, Chapter 84, Key Points, PDF p. 3199.
Miller 10e	85	Emergency Preparedness in Health Care	118	118	Source: Miller 10e, Chapter 85, Key Points, PDF p. 3226.
Miller 10e	86	Clinical Research	119	119	Source: Miller 10e, Chapter 86, Key Points, PDF p. 3233.
Miller 10e	87	Interpreting the Medical Literature	120	120	Source: Miller 10e, Chapter 87, Key Points, PDF p. 3256.
Barash 9e	1	The History of Anesthesia	121	121	Source: Barash 9e, Chapter 1, Key Points, PDF p. 76.
Barash 9e	2	The Practice of Anesthesiology	122	123	Source: Barash 9e, Chapter 2, Key Points, PDF pp. 152–154.
Barash 9e	3	Occupational Health and Well-Being	124	124	Source: Barash 9e, Chapter 3, Key Points, PDF pp. 232–233.
Barash 9e	4	Anesthetic Risk, Quality Improvement, and Liability	125	125	Source: Barash 9e, Chapter 4, Key Points, PDF pp. 276–277.
Barash 9e	5	Electrical Safety and Fires in the Operating Room	126	126	Source: Barash 9e, Chapter 5, Key Points, PDF pp. 319–320.
Barash 9e	6	Genomic Basis of Perioperative Precision Medicine	127	127	Source: Barash 9e, Chapter 6, Key Points, PDF pp. 410–412.
Barash 9e	7	Experimental Design and Statistics	128	128	Source: Barash 9e, Chapter 7, Key Points, PDF p. 494.
Barash 9e	8	Inflammation, Wound Healing, and Infection	129	130	Source: Barash 9e, Chapter 8, Key Points, PDF pp. 547–550.
Barash 9e	9	The Allergic Response	131	131	Source: Barash 9e, Chapter 9, Key Points, PDF pp. 604–606.
Barash 9e	10	Mechanisms of Anesthesia and Consciousness	132	133	Source: Barash 9e, Chapter 10, Key Points, PDF pp. 654–657.
Barash 9e	11	Basic Principles of Clinical Pharmacology	134	135	Source: Barash 9e, Chapter 11, Key Points, PDF pp. 720–723.
Barash 9e	12	Cardiac Anatomy and Physiology	136	137	Source: Barash 9e, Chapter 12, Key Points, PDF pp. 839–841.
Barash 9e	13	Autonomic and Cardiovascular Pharmacology	138	138	Source: Barash 9e, Chapter 13, Key Points, PDF pp. 936–938.
Barash 9e	14	Autonomic Nervous System Anatomy and Physiology	139	139	Source: Barash 9e, Chapter 14, Key Points, PDF pp. 1020–1021.
Barash 9e	15	Respiratory Function in Anesthesia	140	140	Source: Barash 9e, Chapter 15, Key Points, PDF pp. 1102–1104.
Barash 9e	16	Acid–Base, Fluids, and Electrolytes	141	141	Source: Barash 9e, Chapter 16, Key Points, PDF pp. 1145–1147.
Barash 9e	17	Hemostasis and Transfusion Medicine	142	143	Source: Barash 9e, Chapter 17, Key Points, PDF pp. 1258–1261.
Barash 9e	18	Inhaled Anesthetics	144	144	Source: Barash 9e, Chapter 18, Key Points, PDF pp. 1374–1376.
Barash 9e	19	Intravenous Anesthetics	145	145	Source: Barash 9e, Chapter 19, Key Points, PDF pp. 1462–1464.
Barash 9e	20	Opioids	146	147	Source: Barash 9e, Chapter 20, Key Points, PDF pp. 1521–1526.
Barash 9e	21	Neuromuscular Blocking Drugs	148	149	Source: Barash 9e, Chapter 21, Key Points, PDF pp. 1595–1597.
Barash 9e	22	Local Anesthetics	150	150	Source: Barash 9e, Chapter 22, Key Points, PDF pp. 1670–1671.
Barash 9e	23	Preoperative Patient Assessment and Management	151	151	Source: Barash 9e, Chapter 23, Key Points, PDF pp. 1739–1741.
Barash 9e	24	Rare Coexisting Diseases	152	152	Source: Barash 9e, Chapter 24, Key Points, PDF pp. 1823–1825.
Barash 9e	25	The Anesthesia Workstation and Delivery Systems for Inhaled Anesthetics	153	154	Source: Barash 9e, Chapter 25, Key Points, PDF pp. 1924–1928.
Barash 9e	26	Commonly Used Monitoring Techniques	155	156	Source: Barash 9e, Chapter 26, Key Points, PDF pp. 2090–2093.
Barash 9e	27	Echocardiography and Point-of-Care Ultrasound	157	157	Source: Barash 9e, Chapter 27, Key Points, PDF pp. 2169–2170.
Barash 9e	28	Airway Management	158	158	Source: Barash 9e, Chapter 28, Key Points, PDF pp. 2291–2292.
Barash 9e	29	Patient Positioning and Potential Injuries	159	159	Source: Barash 9e, Chapter 29, Key Points, PDF pp. 2426–2427.
Barash 9e	30	Monitored Anesthesia Care	160	160	Source: Barash 9e, Chapter 30, Key Points, PDF pp. 2479–2481.
Barash 9e	31	Ambulatory Anesthesia	161	161	Source: Barash 9e, Chapter 31, Key Points, PDF pp. 2552–2554.
Barash 9e	32	Office-Based Anesthesia	162	162	Source: Barash 9e, Chapter 32, Key Points, PDF pp. 2586–2588.
Barash 9e	33	Nonoperating Room Anesthesia	163	163	Source: Barash 9e, Chapter 33, Key Points, PDF pp. 2651–2652.
Barash 9e	34	Anesthesia for the Older Patient	164	164	Source: Barash 9e, Chapter 34, Key Points, PDF pp. 2705–2707.
Barash 9e	35	Neuraxial Anesthesia	165	165	Source: Barash 9e, Chapter 35, Key Points, PDF pp. 2786–2787.
Barash 9e	36	Peripheral Nerve Blockade	166	166	Source: Barash 9e, Chapter 36, Key Points, PDF pp. 2884–2886.
Barash 9e	37	Anesthesia for Neurosurgery	167	168	Source: Barash 9e, Chapter 37, Key Points, PDF pp. 3051–3054.
Barash 9e	38	Anesthesia for Thoracic Surgery	169	169	Source: Barash 9e, Chapter 38, Key Points, PDF pp. 3132–3134.
Barash 9e	39	Anesthesia for Cardiac Surgery	170	170	Source: Barash 9e, Chapter 39, Key Points, PDF pp. 3281–3282.
Barash 9e	40	Anesthesia for Vascular and Endovascular Surgery	171	171	Source: Barash 9e, Chapter 40, Key Points, PDF pp. 3380–3381.
Barash 9e	41	Obstetric Anesthesia	172	172	Source: Barash 9e, Chapter 41, Key Points, PDF pp. 3471–3473.
Barash 9e	42	Neonatal Anesthesia	173	173	Source: Barash 9e, Chapter 42, Key Points, PDF pp. 3564–3566.
Barash 9e	43	Pediatric Anesthesia	174	174	Source: Barash 9e, Chapter 43, Key Points, PDF pp. 3697–3699.
Barash 9e	44	Anesthesia for Laparoscopic and Robotic Surgeries	175	175	Source: Barash 9e, Chapter 44, Key Points, PDF pp. 3795–3797.
Barash 9e	45	Anesthesia and Obesity	176	176	Source: Barash 9e, Chapter 45, Key Points, PDF pp. 3839–3841.
Barash 9e	46	The Liver: Surgery and Anesthesia	177	177	Source: Barash 9e, Chapter 46, Key Points, PDF pp. 3904–3906.
Barash 9e	47	Endocrine Function	178	178	Source: Barash 9e, Chapter 47, Key Points, PDF p. 3985.
Barash 9e	48	Anesthesia for Otolaryngologic Surgery	179	179	Source: Barash 9e, Chapter 48, Key Points, PDF pp. 4075–4077.
Barash 9e	49	Anesthesia for Ophthalmologic Surgery	180	180	Source: Barash 9e, Chapter 49, Key Points, PDF pp. 4131–4133.
Barash 9e	50	The Renal System and Anesthesia for Urologic Surgery	181	182	Source: Barash 9e, Chapter 50, Key Points, PDF pp. 4224–4226.
Barash 9e	51	Anesthesia for Orthopedic Surgery	183	183	Source: Barash 9e, Chapter 51, Key Points, PDF pp. 4351–4353.
Barash 9e	52	Transplant Anesthesia	184	184	Source: Barash 9e, Chapter 52, Key Points, PDF pp. 4404–4406.
Barash 9e	53	Anesthesia for Trauma and Burns	185	185	Source: Barash 9e, Chapter 53, Key Points, PDF pp. 4495–4497.
Barash 9e	54	Postanesthesia Recovery	186	187	Source: Barash 9e, Chapter 54, Key Points, PDF pp. 4553–4556.
Barash 9e	55	Acute Pain Management	188	189	Source: Barash 9e, Chapter 55, Key Points, PDF pp. 4632–4635.
Barash 9e	56	Chronic Pain Management	190	190	Source: Barash 9e, Chapter 56, Key Points, PDF pp. 4733–4735.
Barash 9e	57	Critical Care Medicine	191	192	Source: Barash 9e, Chapter 57, Key Points, PDF pp. 4804–4806.
Barash 9e	58	Cardiopulmonary Resuscitation	193	194	Source: Barash 9e, Chapter 58, Key Points, PDF pp. 4891–4893.
Barash 9e	59	Disaster Preparedness	195	196	Source: Barash 9e, Chapter 59, Key Points, PDF pp. 4970–4973.
